permno,comnam,ticker
63467,BROWN & BROWN INC,BRO
15579,TEXAS INSTRUMENTS INC,TXN
70519,CITIGROUP INC,C
24985,AMEREN CORP,AEE
18729,COLGATE PALMOLIVE CO,CL
66093,S B C COMMUNICATIONS INC,SBC
85592,PROLOGIS INC,PLD
21936,PFIZER INC,PFE
15069,MARATHON OIL CORP,MRO
58413,FEDERAL REALTY INVESTMENT TRUST,FRT
11533,FAIR ISAAC CORP,FICO
41080,CUMMINS INC,CUM
75828,ELECTRONIC ARTS INC,ERTS
17005,C V S HEALTH CORP,CVS
83143,IRON MOUNTAIN INC NEW,IRM
85348,YUM BRANDS INC,YUM
93096,DOLLAR GENERAL CORP NEW,DG
12623,HUNTINGTON INGALLS INDS INC,HII
76795,ZEBRA TECHNOLOGIES CORP,ZBRA
86580,NVIDIA CORP,NVDA
92611,VISA INC,V
92614,AMERICAN WATER WORKS CO INC,AWK
52038,SYSCO CORP,SYY
52230,ROBERT HALF INTERNATIONAL INC,RHI
15850,MATCH GROUP INC NEW,MTCH
90455,MONOLITHIC PWR SYS INC,MPWR
90993,INTERCONTINENTALEXCHANGE INC,ICE
86158,COGNIZANT TECHNOLOGY SOLS CORP,CTSH
18576,UBER TECHNOLOGIES INC,UBER
79103,O REILLY AUTOMOTIVE INC NEW,ORLY
75186,SCHWAB CHARLES CORP NEW,SCHW
49680,DANAHER CORP,DHR
91041,LIVE NATION INC,LYV
30681,OMNICOM GROUP INC,OMC
10138,T ROWE PRICE GROUP INC,TROW
79094,JABIL INC,JBL
64390,PROGRESSIVE CORP OH,PGR
15291,ETSY INC,ETSY
45911,SKYWORKS SOLUTIONS INC,SWKS
14763,CATALENT INC,CTLT
80100,SIMON PROPERTY GROUP INC NEW,SPG
18143,LINDE PLC NEW,LIN
92157,TYCO ELECTRONICS LTD NEW,TEL
37584,FRANKLIN RESOURCES INC,BEN
13103,DELPHI AUTOMOTIVE PLC,DLPH
16087,FORTIVE CORP,FTV
10104,ORACLE CORP,ORCL
11618,FASTENAL CO,FAST
76226,VIACOM INC,VIA
12345,LYONDELLBASELL INDUSTRIES N V,LYB
