permno,ticker,date,price,ret,market_cap,eps,eps_date,eps_announced,trailing_pe,expected_eps,median_eps,num_analysts,forecast_date,forward_pe
10104,ORCL,2003-06-30,12.01,-0.076864,62857613.73,0.44,2003-05-31,2003-06-12,27.295454545454543,0.47,0.47,37.0,2003-06-19,25.5531914893617
10104,ORCL,2003-07-31,11.99,-0.001665,62752938.27,0.44,2003-05-31,2003-06-12,27.25,0.47,0.48,37.0,2003-07-17,25.510638297872344
10104,ORCL,2003-08-29,12.83,0.070058,67023920.0,0.44,2003-05-31,2003-06-12,29.15909090909091,0.47,0.48,39.0,2003-08-14,27.297872340425535
10104,ORCL,2003-09-30,11.25,-0.123149,58799767.5,0.44,2003-05-31,2003-06-12,25.568181818181817,0.47,0.47,39.0,2003-09-18,23.93617021276596
10104,ORCL,2003-10-31,11.97,0.064,62562952.620000005,0.44,2003-05-31,2003-06-12,27.204545454545457,0.47,0.47,40.0,2003-10-16,25.468085106382983
10104,ORCL,2003-11-28,12.02,0.004177,62816520.0,0.44,2003-05-31,2003-06-12,27.318181818181817,0.47,0.47,40.0,2003-11-20,25.574468085106382
10104,ORCL,2003-12-31,13.23,0.100665,69160976.01,0.44,2003-05-31,2003-06-12,30.06818181818182,0.49,0.49,40.0,2003-12-18,27.0
10104,ORCL,2004-01-30,13.86,0.047619,72454355.82,0.44,2003-05-31,2003-06-12,31.5,0.49,0.49,41.0,2004-01-15,28.285714285714285
10104,ORCL,2004-02-27,12.87,-0.071429,66859649.99999999,0.44,2003-05-31,2003-06-12,29.249999999999996,0.49,0.49,40.0,2004-02-19,26.26530612244898
10104,ORCL,2004-03-31,12.0,-0.067599,62339856.0,0.44,2003-05-31,2003-06-12,27.272727272727273,0.49,0.49,40.0,2004-03-18,24.489795918367346
10104,ORCL,2004-04-30,11.25,-0.0625,58443615.0,0.44,2003-05-31,2003-06-12,25.568181818181817,0.49,0.49,40.0,2004-04-15,22.95918367346939
10104,ORCL,2004-05-28,11.4,0.013333,58949400.0,0.44,2003-05-31,2003-06-12,25.90909090909091,0.49,0.49,38.0,2004-05-20,23.26530612244898
10104,ORCL,2004-06-30,11.93,0.046491,61687381.54,0.5,2004-05-31,2004-06-15,23.86,0.57,0.57,37.0,2004-06-17,20.92982456140351
10104,ORCL,2004-07-30,10.51,-0.119028,54344876.78,0.5,2004-05-31,2004-06-15,21.02,0.57,0.57,32.0,2004-07-15,18.438596491228072
10104,ORCL,2004-08-31,9.97,-0.05138,51126160.0,0.5,2004-05-31,2004-06-15,19.94,0.57,0.57,33.0,2004-08-19,17.491228070175442
10104,ORCL,2004-09-30,11.28,0.131394,57849096.48,0.5,2004-05-31,2004-06-15,22.56,0.57,0.57,37.0,2004-09-16,19.789473684210527
10104,ORCL,2004-10-29,12.66,0.12234,64926379.56,0.5,2004-05-31,2004-06-15,25.32,0.57,0.57,35.0,2004-10-14,22.210526315789476
10104,ORCL,2004-11-30,12.74,0.006319,65024960.0,0.5,2004-05-31,2004-06-15,25.48,0.57,0.57,35.0,2004-11-18,22.35087719298246
10104,ORCL,2004-12-31,13.72,0.076923,71685161.52000001,0.5,2004-05-31,2004-06-15,27.44,0.61,0.62,37.0,2004-12-16,22.491803278688526
10104,ORCL,2005-01-31,13.77,0.003644,71946404.82,0.5,2004-05-31,2004-06-15,27.54,0.62,0.62,35.0,2005-01-20,22.20967741935484
10104,ORCL,2005-02-28,12.95,-0.05955,66511200.0,0.5,2004-05-31,2004-06-15,25.9,0.62,0.62,35.0,2005-02-17,20.887096774193548
10104,ORCL,2005-03-31,12.48,-0.036294,64164434.88,0.5,2004-05-31,2004-06-15,24.96,0.64,0.64,35.0,2005-03-17,19.5
10104,ORCL,2005-04-29,11.56,-0.073718,59434364.36,0.5,2004-05-31,2004-06-15,23.12,0.65,0.64,35.0,2005-04-14,17.784615384615385
10104,ORCL,2005-05-31,12.8,0.107266,65856000.0,0.5,2004-05-31,2004-06-15,25.6,0.64,0.64,35.0,2005-05-19,20.0
10104,ORCL,2005-06-30,13.2,0.03125,67936624.8,0.67,2005-05-31,2005-06-29,19.70149253731343,0.65,0.65,35.0,2005-06-16,20.307692307692307
10104,ORCL,2005-07-29,13.57,0.02803,69840908.98,0.67,2005-05-31,2005-06-29,20.253731343283583,0.8,0.8,35.0,2005-07-14,16.9625
10104,ORCL,2005-08-31,12.99,-0.042741,66885510.0,0.67,2005-05-31,2005-06-29,19.388059701492537,0.8,0.8,35.0,2005-08-18,16.2375
10104,ORCL,2005-09-30,12.4,-0.04542,63882617.6,0.67,2005-05-31,2005-06-29,18.507462686567163,0.8,0.8,35.0,2005-09-15,15.5
10104,ORCL,2005-10-31,12.68,0.022581,65325128.32,0.67,2005-05-31,2005-06-29,18.925373134328357,0.8,0.8,33.0,2005-10-20,15.85
10104,ORCL,2005-11-30,12.6,-0.006309,64940400.0,0.67,2005-05-31,2005-06-29,18.80597014925373,0.8,0.8,33.0,2005-11-17,15.749999999999998
10104,ORCL,2005-12-30,12.21,-0.030952,63028325.25000001,0.67,2005-05-31,2005-06-29,18.223880597014926,0.8,0.8,31.0,2005-12-15,15.262500000000001
10104,ORCL,2006-01-31,12.57,0.029484,64886654.25,0.67,2005-05-31,2005-06-29,18.761194029850746,0.79,0.79,29.0,2006-01-19,15.91139240506329
10104,ORCL,2006-02-28,12.42,-0.011933,65975040.0,0.67,2005-05-31,2005-06-29,18.53731343283582,0.78,0.78,28.0,2006-02-16,15.923076923076922
10104,ORCL,2006-03-31,13.69,0.102254,72721280.0,0.67,2005-05-31,2005-06-29,20.43283582089552,0.78,0.78,26.0,2006-03-16,17.55128205128205
10104,ORCL,2006-04-28,14.59,0.065742,77832733.17,0.67,2005-05-31,2005-06-29,21.776119402985074,0.79,0.79,29.0,2006-04-20,18.468354430379748
10104,ORCL,2006-05-31,14.22,-0.02536,74399040.0,0.67,2005-05-31,2005-06-29,21.223880597014926,0.79,0.79,30.0,2006-05-18,18.0
